Age,Age Group,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Salary Slab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
19,18-25,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,2994,Upto 5K,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
20,18-25,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Upto 5K,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
20,18-25,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836,Upto 5K,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,1009,Upto 5K,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
20,18-25,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,2044,Upto 5K,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
20,18-25,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,Upto 5K,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
20,18-25,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,2600,Upto 5K,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
20,18-25,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,2323,Upto 5K,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
20,18-25,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033,Upto 5K,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
20,18-25,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,2678,Upto 5K,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
20,18-25,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,2783,Upto 5K,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
20,18-25,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,2728,Upto 5K,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
21,18-25,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Upto 5K,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
21,18-25,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230,Upto 5K,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
21,18-25,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,Upto 5K,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
21,18-25,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,2610,Upto 5K,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
21,18-25,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716,Upto 5K,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
21,18-25,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447,Upto 5K,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
21,18-25,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single,2693,Upto 5K,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
21,18-25,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416,Upto 5K,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
21,18-25,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070,Upto 5K,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
21,18-25,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,Upto 5K,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
21,18-25,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single,3117,Upto 5K,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
21,18-25,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,Upto 5K,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
21,18-25,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,Upto 5K,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
22,18-25,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Upto 5K,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
22,18-25,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Upto 5K,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
22,18-25,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,Upto 5K,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
22,18-25,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323,Upto 5K,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
22,18-25,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,Upto 5K,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
22,18-25,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,Upto 5K,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
22,18-25,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,Upto 5K,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
22,18-25,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,Upto 5K,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
22,18-25,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,4775,Upto 5K,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
22,18-25,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171,Upto 5K,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
22,18-25,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,2451,Upto 5K,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
22,18-25,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,2853,Upto 5K,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
22,18-25,No,Non-Travel,457,Research & Development,26,2,Other,1,1605,2,Female,85,2,1,Research Scientist,3,Married,2814,Upto 5K,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
22,18-25,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398,Upto 5K,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
22,18-25,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472,Upto 5K,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
22,18-25,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,Upto 5K,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Upto 5K,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
23,18-25,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,Upto 5K,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
23,18-25,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819,Upto 5K,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
23,18-25,No,Travel_Rarely,650,Research & Development,9,1,Medical,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,2500,Upto 5K,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
23,18-25,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,784,1,Male,79,4,1,Research Scientist,3,Single,3505,Upto 5K,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
23,18-25,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601,Upto 5K,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
23,18-25,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,Upto 5K,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
23,18-25,No,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272,Upto 5K,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
23,18-25,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,1,1592,4,Male,45,4,1,Research Scientist,3,Married,2073,Upto 5K,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
23,18-25,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,3989,Upto 5K,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
23,18-25,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275,Upto 5K,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
23,18-25,No,Travel_Rarely,160,Research & Development,4,1,Medical,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295,Upto 5K,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
23,18-25,No,Travel_Rarely,571,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647,Upto 5K,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
23,18-25,Yes,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,1790,Upto 5K,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
24,18-25,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Upto 5K,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
24,18-25,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Upto 5K,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,Upto 5K,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
24,18-25,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Upto 5K,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
24,18-25,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,Upto 5K,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
24,18-25,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,Upto 5K,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
24,18-25,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400,Upto 5K,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
24,18-25,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,Upto 5K,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
24,18-25,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,Upto 5K,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
24,18-25,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,Upto 5K,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
24,18-25,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,65,3,2,Sales Executive,3,Single,4577,Upto 5K,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
24,18-25,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694,Upto 5K,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
24,18-25,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162,Upto 5K,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
24,18-25,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,Upto 5K,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
24,18-25,No,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,Upto 5K,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
24,18-25,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,Upto 5K,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
24,18-25,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,Married,4162,Upto 5K,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
24,18-25,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172,Upto 5K,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
24,18-25,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,2033,Upto 5K,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
24,18-25,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,Upto 5K,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
24,18-25,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,Upto 5K,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
24,18-25,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401,Upto 5K,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
24,18-25,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,3,Married,1555,Upto 5K,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
24,18-25,No,Travel_Rarely,506,Research & Development,29,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,Upto 5K,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
24,18-25,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,59,3,1,Human Resources,4,Married,2145,Upto 5K,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
24,18-25,No,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,4617,Upto 5K,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
25,18-25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,5K-10K,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
25,18-25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889,Upto 5K,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
25,18-25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,8639,5K-10K,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
25,18-25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350,1,Female,62,3,2,Manufacturing Director,3,Married,4898,Upto 5K,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
25,18-25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,Upto 5K,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
25,18-25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487,Upto 5K,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
25,18-25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,Upto 5K,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
25,18-25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096,Upto 5K,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
25,18-25,No,Travel_Rarely,810,Sales,8,3,Life Sciences,1,707,4,Male,57,4,2,Sales Executive,2,Married,4851,Upto 5K,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
25,18-25,No,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,Female,32,3,2,Sales Executive,4,Single,6180,5K-10K,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
25,18-25,No,Travel_Rarely,180,Research & Development,2,1,Medical,1,854,1,Male,65,4,1,Research Scientist,1,Single,3424,Upto 5K,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
25,18-25,No,Travel_Rarely,141,Sales,3,1,Other,1,879,3,Male,98,3,2,Sales Executive,1,Married,4194,Upto 5K,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
25,18-25,No,Travel_Rarely,583,Sales,4,1,Marketing,1,885,3,Male,87,2,2,Sales Executive,1,Married,4256,Upto 5K,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
25,18-25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,1,952,3,Male,36,2,1,Sales Representative,2,Married,2413,Upto 5K,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
25,18-25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,Married,3691,Upto 5K,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
25,18-25,No,Travel_Rarely,1356,Sales,10,4,Life Sciences,1,1240,3,Male,57,3,2,Sales Executive,4,Single,4950,Upto 5K,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
25,18-25,Yes,Travel_Frequently,599,Sales,24,1,Life Sciences,1,1273,3,Male,73,1,1,Sales Representative,4,Single,1118,Upto 5K,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
25,18-25,No,Travel_Rarely,266,Research & Development,1,3,Medical,1,1303,4,Female,40,3,1,Research Scientist,2,Single,2096,Upto 5K,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
25,18-25,No,Travel_Rarely,882,Research & Development,19,1,Medical,1,1358,4,Male,67,3,1,Laboratory Technician,4,Married,3669,Upto 5K,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
25,18-25,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,1399,1,Male,93,4,2,Sales Executive,3,Married,6232,5K-10K,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
25,18-25,No,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1,1415,1,Male,81,3,1,Laboratory Technician,4,Married,3229,Upto 5K,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
25,18-25,Yes,Travel_Rarely,383,Sales,9,2,Life Sciences,1,1439,1,Male,68,2,1,Sales Representative,1,Married,4400,Upto 5K,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
25,18-25,No,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,1653,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,5K-10K,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
25,18-25,No,Travel_Rarely,309,Human Resources,2,3,Human Resources,1,1987,3,Female,82,3,1,Human Resources,2,Married,2187,Upto 5K,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
25,18-25,No,Travel_Rarely,977,Research & Development,2,1,Other,1,1992,4,Male,57,3,1,Laboratory Technician,3,Divorced,3977,Upto 5K,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
25,18-25,No,Travel_Rarely,1382,Sales,8,2,Other,1,2018,1,Female,85,3,2,Sales Executive,3,Divorced,4907,Upto 5K,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
26,26-35,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,Upto 5K,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
